id,susceptibility_BV,infectivity_BV,susceptibility_EV,infectivity_EV,susceptibility,infectivity,susceptibility_ln,infectivity_ln,IndexCase_0,group,Tinf,frailties,Epi.type,I,R,eRates,V1
616,-0.664542428563562,7.49585766303026e-07,0,0,-0.664542428563562,7.49585766303026e-07,0.51450889842878,1.00000074958605,0,1,0,lognormal,SI,1,,0,9.99999965320542
826,0.328031396796179,-2.84592497618537e-07,0,0,0.328031396796179,-2.84592497618537e-07,1.38823255765985,0.999999715407543,1,1,0.0216268608815271,lognormal,SI,1,,0,9.99999965320542
964,-0.270297193517439,-1.49242731248898e-07,0,0,-0.270297193517439,-1.49242731248898e-07,0.763152656608811,0.99999985075728,1,1,0.371893686528635,lognormal,SI,1,,0,9.99999965320542
1056,-0.200808665431658,-9.67124656423566e-07,0,0,-0.200808665431658,-9.67124656423566e-07,0.818068941448291,0.999999032875811,1,1,0.769109218884114,lognormal,SI,1,,0,9.99999965320542
1099,-0.576506406995065,-6.95830279773552e-07,0,0,-0.576506406995065,-6.95830279773552e-07,0.561857844398352,0.999999304169962,1,1,0.465037024501895,lognormal,SI,1,,0,9.99999965320542
1191,0.26540960394842,7.03240972262004e-07,0,0,0.26540960394842,7.03240972262004e-07,1.30396497560929,1.00000070324122,1,1,0.473239393079588,lognormal,SI,1,,0,9.99999965320542
1207,0.941595928834954,3.04003400635752e-07,0,0,0.941595928834954,3.04003400635752e-07,2.56407022834879,1.00000030400345,1,1,0.543696543629833,lognormal,SI,1,,0,9.99999965320542
1351,-0.268814174174775,-1.03116227244007e-06,0,0,-0.268814174174775,-1.03116227244007e-06,0.764285266393493,0.999998968838259,1,1,1.71616002878564,lognormal,SI,1,,0,9.99999965320542
1358,-0.609632579965522,1.14447758012898e-07,0,0,-0.609632579965522,1.14447758012898e-07,0.54355054374954,1.00000011444776,1,1,0.901965841112604,lognormal,SI,1,,0,9.99999965320542
1600,0.290652118314192,9.0987767109979e-07,0,0,0.290652118314192,9.0987767109979e-07,1.33729928109122,1.00000090987809,1,1,1.42792459767396,lognormal,SI,1,,0,9.99999965320542
622,-0.241367255222498,5.06710283634725e-07,0,0,-0.241367255222498,5.06710283634725e-07,0.785553074936255,1.00000050671041,0,2,0,lognormal,SI,1,,0,10.0000013708685
687,0.444612376689553,1.04198626853125e-06,0,0,0.444612376689553,1.04198626853125e-06,1.55988543067515,1.00000104198681,1,2,4.52439991716055,lognormal,SI,1,,0,10.0000013708685
800,0.251993833319086,-1.72735256446679e-07,0,0,0.251993833319086,-1.72735256446679e-07,1.28658810328208,0.999999827264758,1,2,4.38938816004355,lognormal,SI,1,,0,10.0000013708685
831,0.450174091029468,7.43254908146578e-07,0,0,0.450174091029468,7.43254908146578e-07,1.5685852383404,1.00000074325518,1,2,4.67499034266024,lognormal,SI,1,,0,10.0000013708685
945,0.0294834455415244,-3.41505960287953e-07,0,0,0.0294834455415244,-3.41505960287953e-07,1.0299223855234,0.999999658494098,1,2,3.14994223169582,lognormal,SI,1,,0,10.0000013708685
1003,0.0801856922931665,-1.25225303911991e-07,0,0,0.0801856922931665,-1.25225303911991e-07,1.08348824441262,0.999999874774704,1,2,2.05186264704543,lognormal,SI,1,,0,10.0000013708685
1009,-0.15681134550417,2.26669753771616e-07,0,0,-0.15681134550417,2.26669753771616e-07,0.854865317791622,1.00000022666978,1,2,3.21489267424238,lognormal,SI,1,,0,10.0000013708685
1084,-0.30043089119623,-4.92835125557566e-07,0,0,-0.30043089119623,-4.92835125557566e-07,0.740499077395373,0.999999507164996,1,2,0.904448328623855,lognormal,SI,1,,0,10.0000013708685
1228,0.414654618722206,-6.02664947890478e-07,0,0,0.414654618722206,-6.02664947890478e-07,1.51384779570348,0.999999397335234,1,2,3.77906159233946,lognormal,SI,1,,0,10.0000013708685
1381,-0.146879193387609,5.87212385246209e-07,0,0,-0.146879193387609,5.87212385246209e-07,0.863398275337042,1.00000058721256,1,2,3.57143203990551,lognormal,SI,1,,0,10.0000013708685
632,-0.265849429237253,4.52711185830016e-08,0,0,-0.265849429237253,4.52711185830016e-08,0.766554539513665,1.00000004527112,0,3,0,lognormal,SI,1,,0,9.99999961012226
638,-0.01257181901494,-3.93006218042927e-07,0,0,-0.01257181901494,-3.93006218042927e-07,0.987506876175961,0.999999606993859,1,3,0.961321090405018,lognormal,SI,1,,0,9.99999961012226
663,0.481943993986774,-8.09048355803561e-08,0,0,0.481943993986774,-8.09048355803561e-08,1.61921909675625,0.999999919095168,1,3,0.515088523943977,lognormal,SI,1,,0,9.99999961012226
671,0.225610303459497,-1.0006722484133e-07,0,0,0.225610303459497,-1.0006722484133e-07,1.25308724635193,0.99999989993278,1,3,1.61596125559751,lognormal,SI,1,,0,9.99999961012226
834,-0.363424385414758,-1.53887080802907e-08,0,0,-0.363424385414758,-1.53887080802907e-08,0.695291299391749,0.999999984611292,1,3,0.808699989851179,lognormal,SI,1,,0,9.99999961012226
872,0.373756532145287,-6.08750460404763e-08,0,0,0.373756532145287,-6.08750460404763e-08,1.45318330396196,0.999999939124956,1,3,0.919427544654596,lognormal,SI,1,,0,9.99999961012226
928,0.138868796817909,2.26324008847575e-07,0,0,0.138868796817909,2.26324008847575e-07,1.1489733411553,1.00000022632403,1,3,1.89257322980456,lognormal,SI,1,,0,9.99999961012226
1085,-0.159419327553265,9.03830675784492e-07,0,0,-0.159419327553265,9.03830675784492e-07,0.852638749076062,1.00000090383108,1,3,0.806167003887096,lognormal,SI,1,,0,9.99999961012226
